ID,day,month,year,hour,minute,second,latitude,longitude,depth,mw,mw_err,mc,cluster_id
202,27,6,1863,0,0,0,37.3667,-1.9333,0,4.381,0.294,5.25,16
203,28,6,1863,22,0,0,37.3667,-1.9333,0,4.381,0.294,5.25,16
204,2,7,1863,23,30,0,37.3667,-1.9333,0,4.6535,0.309,5.25,16
205,3,7,1863,0,0,0,37.3667,-1.9333,0,3.291,0.234,5.25,16
206,4,7,1863,7,0,0,37.3667,-1.9333,0,3.836,0.264,5.25,16
207,9,7,1863,9,0,0,37.3333,-2.5,0,4.6535,0.309,5.25,0
208,14,7,1863,3,0,0,37.25,-1.8667,0,4.381,0.294,5.25,16
209,21,7,1863,6,0,0,37.3,-1.9,0,4.381,0.294,5.25,0
210,6,8,1863,2,0,0,37.25,-1.8667,0,4.381,0.294,5.25,48
211,8,8,1863,2,0,0,37.3,-1.9,0,3.836,0.264,5.25,48
212,8,8,1863,4,45,0,36.7333,-3.3333,0,4.1085,0.279,5.25,0
213,12,8,1863,20,0,0,37.3667,-1.9333,0,3.291,0.234,5.25,246
214,13,8,1863,11,15,0,37.3667,-1.9333,0,3.291,0.234,5.25,246
215,22,8,1863,0,21,0,37.25,-1.8667,0,4.381,0.294,5.25,0
216,28,8,1863,17,30,0,38,-0.7,0,3.291,0.234,5.25,247
217,30,8,1863,15,45,0,38,-0.7,0,3.291,0.234,5.25,247
218,4,9,1863,2,0,0,37.25,-1.8667,0,3.291,0.234,5.25,0
219,16,9,1863,15,0,0,37.3667,-1.9333,0,3.836,0.264,5.25,0
220,23,9,1863,21,30,0,37.3667,-1.9333,0,3.836,0.264,5.25,0
221,10,1,1864,0,0,0,37.4,-1.9333,0,3.291,0.234,5.25,0
222,11,1,1864,22,0,0,38,-0.7,0,3.291,0.234,5.25,0
223,12,1,1864,5,20,0,37.85,-1.4167,0,4.6535,0.309,5.25,0
224,24,1,1864,4,30,0,38,-0.7,0,3.836,0.264,5.25,0
225,3,6,1864,17,5,0,38,-0.7,0,3.291,0.234,5.25,0
226,13,7,1864,0,45,0,37.5833,-1,0,3.836,0.264,5.25,0
